IBE,LAC,CO,Organization,Country,O,IC,NIwL,WCN,%Q1,%Exc,%Lead,%EwL,STP,IK,TI,Pat,%OA,Not OJ,OP
628,530,43,Universidad Casa Grande,ECU,14,"57,14","0,22","0,23","21,43","7,14","35,71",0,"0,00","0,00",0,0,"14,29",14,0
628,530,43,Universidad Israel,ECU,14,"78,57","0,24","0,24",0,0,"57,14",0,"0,00","0,00",0,0,"21,43",14,0
629,531,44,Universidad Tecnologica Empresarial de Guayaquil,ECU,13,"15,38","0,05","0,05",0,0,"76,92",0,"0,00","0,00",0,0,"15,38",13,0
630,532,45,Universidad del Pacifico - Escuela de Negocios,ECU,12,100,0,0,"83,33","33,33",0,0,"0,00","0,00",0,0,50,12,0
630,532,45,Universidad Tecnica Luis Vargas Torres de Esmeraldas,ECU,12,100,"0,68","0,75","33,33","8,33",50,0,"0,00","0,00",0,0,"58,33",12,0
631,533,46,Universidad San Gregorio de Portoviejo,ECU,11,"54,55",0,0,0,0,"63,64",0,"0,00","0,00",0,0,"81,82",11,0
632,534,47,Universidad de Otavalo,ECU,10,20,"0,9","0,93",10,20,90,20,"0,00","0,00",0,0,100,10,0
632,534,47,Universidad Politecnica Estatal del Carchi,ECU,10,40,"0,54","0,61",10,10,80,10,"0,00","0,00",0,0,80,10,0
636,538,48,Universidad Santa Maria Campus Guayaquil,ECU,6,"16,67",0,0,0,0,0,0,"0,00","0,00",0,0,0,6,0
640,542,49,Universidad de Especialidades Turisticas,ECU,2,100,0,0,0,0,0,0,"0,00","0,00",0,0,100,2,0
641,543,50,Universidad Alfredo Perez Guerrero,ECU,1,100,0,0,0,0,0,0,"0,00","0,00",0,0,100,1,0
641,543,50,Universidad de las Artes,ECU,1,0,0,0,0,0,100,0,"0,00","0,00",0,0,0,1,0
641,543,50,Universidad Metropolitana,ECU,1,100,0,0,0,0,0,0,"0,00","0,00",0,0,100,1,0
